[2025-11-26 22:07:09] CONNECT | conf=-1.0000 | /127.0.0.1:50631
[2025-11-26 22:07:25] CLIENT | conf=1.0000 | hi
[2025-11-26 22:07:54] CLIENT | conf=1.0000 | congratulations you won lottory
[2025-11-26 22:08:22] SERVER | conf=1.0000 | congratulations you won lottery
[2025-11-26 22:08:29] CLIENT | conf=1.0000 | c
[2025-11-26 22:08:31] CLIENT | conf=1.0000 | ho
[2025-11-26 22:08:34] CLIENT | conf=1.0000 | j
[2025-11-26 22:08:35] CLIENT | conf=1.0000 | j
[2025-11-26 22:08:35] CLIENT | conf=1.0000 | j
[2025-11-26 22:08:36] CLIENT | conf=1.0000 | j
[2025-11-26 22:08:36] CLIENT | conf=1.0000 | j
[2025-11-26 22:08:37] CLIENT | conf=1.0000 | j
[2025-11-26 22:08:37] CLIENT | conf=1.0000 | j
[2025-11-26 22:09:01] DISCONNECT | conf=-1.0000 | /127.0.0.1:50631
[2025-11-26 22:24:36] CONNECT | conf=-1.0000 | /127.0.0.1:52989
[2025-11-26 22:25:17] SERVER | conf=1.0000 | hi
[2025-11-26 22:25:20] CLIENT | conf=1.0000 | hi
[2025-11-26 22:26:28] SERVER | conf=1.0000 | congratulation you won lottery
[2025-11-26 23:11:38] DISCONNECT | conf=-1.0000 | /127.0.0.1:52989
[2025-11-26 23:17:18] CONNECT | conf=-1.0000 | /127.0.0.1:61744
[2025-11-26 23:17:49] CLIENT | conf=1.0000 | congratulations you won lottery
[2025-11-26 23:18:02] SERVER | conf=1.0000 | ho
[2025-11-26 23:18:07] CLIENT | conf=1.0000 | jani
[2025-11-26 23:18:24] DISCONNECT | conf=-1.0000 | /127.0.0.1:61744
[2025-11-27 21:00:50] CONNECT | conf=-1.0000 | /127.0.0.1:50742
[2025-11-27 21:01:19] SERVER | conf=1.0000 | congratulations you won lottery
[2025-11-27 21:01:37] CLIENT | conf=1.0000 | congratulationsyou win lottery
[2025-11-27 21:06:43] DISCONNECT | conf=-1.0000 | /127.0.0.1:50742
[2025-11-27 21:18:55] CONNECT | conf=-1.0000 | /127.0.0.1:63667
[2025-11-27 21:19:29] SERVER | conf=0.6713 | congratulations you win lottery
[2025-11-27 21:21:09] CLIENT | conf=0.9342 | yes
[2025-11-27 21:21:39] CLIENT | conf=0.5475 | congrats, you won iphone
[2025-11-27 21:22:26] CLIENT | conf=0.5482 | congratulations i can give you a protien
[2025-11-27 21:33:41] DISCONNECT | conf=-1.0000 | /127.0.0.1:63667
[2025-11-27 21:34:04] CONNECT | conf=-1.0000 | /127.0.0.1:53971
[2025-11-27 21:35:31] BLOCKED_OUTGOING | conf=0.8084 | congratulation you won lottery
[2025-11-27 21:36:00] CLIENT | conf=0.9642 | hi
[2025-11-27 21:36:09] SERVER | conf=0.9867 | hey
[2025-11-27 21:37:29] CLIENT | conf=0.9733 | fuck you
[2025-11-27 21:37:53] SERVER | conf=0.5213 | claim now at url www.xxx.com
[2025-11-27 21:41:05] DISCONNECT | conf=-1.0000 | /127.0.0.1:53971
[2025-11-27 21:46:55] CONNECT | conf=-1.0000 | /127.0.0.1:57889
[2025-11-27 21:47:15] BLOCKED_OUTGOING | conf=0.8084 | congratulation you won lottery
[2025-11-27 21:47:30] CLIENT | conf=0.7444 | [BLOCKED SPAM - Outgoing from Client]
[2025-11-27 21:48:47] DISCONNECT | conf=-1.0000 | /127.0.0.1:57889
[2025-11-27 21:49:15] CONNECT | conf=-1.0000 | /127.0.0.1:57921
[2025-11-27 21:49:46] CLIENT | conf=-1.0000 | congratulation you won lottery
[2025-11-27 21:50:22] CLIENT | conf=-1.0000 | [BLOCKED SPAM - Outgoing from Client]
[2025-11-27 21:50:56] BLOCKED_INCOMING | conf=0.8084 | congratulation you won lottery
[2025-11-27 21:54:14] CONNECT | conf=-1.0000 | /127.0.0.1:61400
[2025-11-27 21:54:22] DISCONNECT | conf=-1.0000 | /127.0.0.1:61400
[2025-11-27 22:00:41] CONNECT | conf=-1.0000 | /127.0.0.1:61523
[2025-11-27 22:00:49] SERVER | conf=0.9642 | hi
[2025-11-27 22:00:57] CLIENT | conf=0.9342 | yes
[2025-11-27 22:01:19] SERVER | conf=0.8841 | you want free protein?
[2025-11-27 22:01:30] CLIENT | conf=0.8658 | noo
[2025-11-27 22:01:57] SERVER | conf=0.7251 | click on this website www.porn.com for free protein
[2025-11-27 22:02:59] SERVER | conf=0.6406 | click on this www.porn.com for free protein
[2025-11-27 22:03:47] SERVER | conf=0.5902 | click on this website to claim free protien 
[2025-11-27 22:04:21] SERVER | conf=0.7478 | Congratulations you just won free protein
[2025-11-27 22:05:08] SERVER | conf=0.6454 | Congratulation you just won free protein
[2025-11-27 22:05:42] BLOCKED_OUTGOING | conf=0.8453 | congratulations you won free protien
[2025-11-27 22:07:22] DISCONNECT | conf=-1.0000 | /127.0.0.1:61523
[2025-11-27 22:11:47] CONNECT | conf=-1.0000 | /127.0.0.1:61658
[2025-11-27 22:12:00] BLOCKED_OUTGOING | conf=0.8084 | congratulation you won lottery
[2025-11-27 22:12:18] DISCONNECT | conf=-1.0000 | /127.0.0.1:61658
[2025-11-27 22:14:33] CONNECT | conf=-1.0000 | /127.0.0.1:61698
[2025-11-27 22:14:40] SERVER | conf=0.9642 | hi
[2025-11-27 22:14:48] CLIENT | conf=0.9559 | hello
[2025-11-27 22:14:56] SERVER | conf=0.9652 | want protein?
[2025-11-27 22:15:03] CLIENT | conf=0.8658 | yessss
[2025-11-27 22:15:25] BLOCKED_OUTGOING | conf=0.8199 | Congratulation you won a free protein
[2025-11-27 22:30:23] DISCONNECT | conf=-1.0000 | /127.0.0.1:61698
[2025-11-28 09:22:45] CONNECT | conf=-1.0000 | /127.0.0.1:61915
[2025-11-28 09:23:28] SERVER | conf=0.9642 | hi
[2025-11-28 09:23:39] CLIENT | conf=0.9559 | hello
[2025-11-28 09:23:58] SERVER | conf=0.9879 | how are you doing?
[2025-11-28 09:24:40] CLIENT | conf=0.9806 | iam doing well what do you want?
[2025-11-28 09:25:08] SERVER | conf=0.5704 | click here to redeem your free reward www.fkt.com
[2025-11-28 09:25:16] DISCONNECT | conf=-1.0000 | /127.0.0.1:61915
[2025-11-28 09:25:42] CONNECT | conf=-1.0000 | /127.0.0.1:59216
[2025-11-28 09:29:43] SERVER | conf=0.9642 | hi
[2025-11-28 09:29:51] CLIENT | conf=0.9559 | hello
[2025-11-28 09:30:12] SERVER | conf=0.9879 | what are you doing
[2025-11-28 09:31:23] DISCONNECT | conf=-1.0000 | /127.0.0.1:59216
[2025-11-28 09:32:11] CONNECT | conf=-1.0000 | /127.0.0.1:58163
[2025-11-28 09:32:29] SERVER | conf=0.9642 | hi
[2025-11-28 09:45:43] DISCONNECT | conf=-1.0000 | /127.0.0.1:58163
